키워드,네이버검색량,PC,모바일,경쟁정도,추이지수,추이,월별추이
골프 원피스,3730,400,3330,높음,52.2,급하락,82.4|100|97.0|74.6|53.5|23.7|9.4|7.4|9.5|11.2|26.9|40.2|52.2
여름 장화,1470,250,1220,높음,23.9,급하락,30.9|43.0|17.6|4.6|0.1|0.3|0.3|1.5|5.5|11.2|23.9
골프 셔츠,530,100,430,높음,8.7,급하락,13.8|11.6|11.4|9.2|9.8|9.2|3.7|0.9|1.7|2.8|6.6|9.0|8.7
등산 운동화,360,60,300,높음,6.3,상승,8.7|7.7|3.9|6.5|7.0|8.9|6.5|4.8|4.5|5.4|8.8|7.5|6.3
장례식 바지,45,5,40,높음,0.2,급하락,0.2|0.4|0.2|0.7|0.2|0.1|0.1|0.2|0.2|0.2|0.2
러닝 샌들,580,110,470,높음,9.9,급하락,9.3|19.1|21.2|7.8|4.7|1.6|0.1|1.0|5.7|9.9
비치 수영복,1430,200,1230,높음,28.2,급하락,45.7|60.7|100|58.1|30.4|24.3|31.3|34.6|43.2|32.9|32.2|25.7|28.2
등산 티셔츠,860,210,650,중간,32.5,유지,47.2|42.5|42.9|50.4|53.9|40.4|49.9|30.1|24.9|26.0|45.1|53.8|32.5
여름 뮬,2200,300,1900,높음,55.2,하락,46.6|50.7|32.4|7.2|0.1|0.1|0.4|1.9|4.0|14.0|41.2|55.2
데일리 운동화,720,140,580,높음,22.6,급상승,19.4|14.7|12.3|17.8|21.4|22.6|14.8|13.9|13.3|18.2|28.6|24.8|22.6
결혼식 하객 운동화,65,5,60,높음,13.0,급상승,6.3|8.5|5.4|2.3|25.7|21.2|18.2|12.7|4.8|5.9|21.2|18.1|13.0
데일리 스니커즈,50,10,40,높음,3.1,급상승,7.3|1.4|0.7|1.4|6.3|11.0|5.9|2.7|3.1|5.6|12.6|12.3|3.1
데일리 바지,70,10,60,높음,4.7,급상승,5.2|4.8|1.4|0.8|4.5|7.5|4.9|1.4|1.8|12.0|13.1|4.7
데일리 구두,70,20,50,높음,3.4,급하락,7.3|5.1|16.8|4.7|4.4|2.3|2.8|7.9|12.8|3.0|3.4
면접 원피스,290,50,240,높음,29.1,급하락,72.4|65.2|66.0|62.1|56.1|46.1|44.9|100|86.9|39.2|24.0|29.1|29.1
러닝 우비,160,30,130,중간,4.8,급하락,10.9|27.8|9.2|4.9|22.1|27.6|12.3|1.1|0.8|1.7|5.8|4.5|4.8
데일리 원피스,950,140,810,높음,40.1,급하락,73.9|93.1|100|56.2|43.0|27.1|10.0|4.7|6.9|10.7|29.6|36.1|40.1
여름 런닝화,500,110,390,높음,23.8,급하락,37.0|49.5|34.5|10.7|0.5|0.3|1.1|6.8|15.4|23.8
