키워드,검색량,네이버검색량,추이,난이도,섹션,패션,LF몰,W컨셉,한섬,SSF샵,SI빌리지,Status,순위,우선순위
언더웨어세트,0,75,유지,,언더웨어,Y,0,0,0,0,0,미수집,20,20순위
보정웨어,0,10,,,언더웨어,Y,0,0,0,0,0,미수집,21,21순위
스포츠언더웨어,0,270,유지,,스포츠,N,0,0,0,0,0,미수집,0,
라운지웨어,0,2180,급하락,,언더웨어,Y,0,0,0,0,0,미수집,16,16순위
임산부언더웨어,0,10,,,유아동,N,0,0,0,0,0,미수집,0,
슬립,9900,13290,급하락,,언더웨어,Y,0,0,0,0,0,미수집,7,7순위
캐미솔,4400,5500,상승,,언더웨어,Y,0,0,0,0,0,미수집,12,12순위
런닝,3600,17330,급하락,,언더웨어,Y,0,0,0,0,0,미수집,4,4순위
속바지,2400,7020,급하락,,언더웨어,Y,0,0,0,0,0,미수집,10,10순위
속치마,590,6580,급하락,,언더웨어,Y,0,0,0,0,0,미수집,11,11순위
커플세트,0,50,급하락,,기타,N,0,0,0,0,0,미수집,0,
계절내의,0,10,,,언더웨어,Y,0,0,0,0,0,미수집,22,22순위
기타 소품,30,35,급상승,,리빙/홈,N,0,0,0,0,0,미수집,0,
비키니수영복,0,2370,급하락,,수영/비치,Y,0,0,0,0,0,미수집,20,20순위
원피스수영복,0,10820,급하락,,수영/비치,Y,0,0,0,0,0,미수집,9,9순위
비치웨어,0,5830,급하락,,수영/비치,Y,0,0,0,0,0,미수집,13,13순위
점퍼,5400,3670,급상승,,의류,Y,0,0,0,0,0,미수집,68,68순위
자켓,6600,10390,급상승,32,의류,Y,0,0,49,8,0,Missing,15,15순위
코트,27100,4340,상승,23,의류,Y,0,0,0,18,0,Missing,23,23순위
니트,14800,8090,급상승,19,의류,Y,43,2,0,8,0,Weak,33,33순위
스웨터,8100,2420,하락,,의류,Y,0,0,0,0,0,미수집,79,79순위
셔츠,22200,22790,상승,29,의류,Y,0,23,0,24,0,Missing,8,8순위
티셔츠,12100,30300,급하락,16,의류,Y,0,5,0,32,0,Missing,5,5순위
팬츠,1900,3270,하락,,의류,Y,0,0,0,0,0,미수집,71,71순위
와이어,3600,7620,급하락,,언더웨어,Y,0,0,0,0,0,미수집,9,9순위
노와이어,110,310,급하락,,언더웨어,Y,0,0,0,0,0,미수집,19,19순위
