code,brand,org
A816,론카토,e-영업3
A817,알렉산더 맥퀸,e-영업3
A824,오바쿠,e-영업3
A825,화이트샌즈,e-영업3
A827,에르노,e-영업3
A838,랑방,e-영업3
A839,제냐,e-영업3
A840,에스까다,e-영업3
A843,넘버21,e-영업3
A851,헤지스 홈,e-영업4
A852,프라다,e-영업3
A853,살바토레 페라가모,e-영업3
A854,지방시,e-영업3
A855,버버리,e-영업3
A856,골든구스,e-영업3
A857,몽블랑,e-영업3
A859,에트로,e-영업3
A864,발렌시아가,e-영업3
A865,발리,e-영업3
A866,셀린느,e-영업3
A873,디스퀘어드2,e-영업3
A874,펜디,e-영업3
A877,마크제이콥스,e-영업3
A878,마이클코어스,e-영업3
A879,미우미우,e-영업3
A880,몽클레어,e-영업3
A882,멀버리,e-영업3
A884,폴스미스,e-영업3
A885,필립모델,e-영업3
A888,스톤아일랜드,e-영업3
A889,토즈,e-영업3
A891,토리버치,e-영업3
A893,발렌티노,e-영업3
A895,생 로랑,e-영업3
A896,구찌,e-영업3
A898,키플링,e-영업3
A911,살바토레 페라가모,e-영업3
A913,프라고나르,e-영업4
A914,클린,e-영업4
A915,존 바바토스,e-영업4
A916,쥬시꾸뛰르,e-영업4
A917,프라다,e-영업4
A918,파코라반,e-영업4
A920,에트로,e-영업4
A923,메르세데스벤츠,e-영업4
A924,랑세,e-영업4
A927,4711,e-영업4
A932,장폴고티에,e-영업4
A934,랑팔라투르,e-영업4
A937,알렉산더 왕,e-영업3
A938,꼼데가르송,e-영업3
A940,바오바오,e-영업3
A947,코치,e-영업3
A948,피에르 하디,e-영업3
A956,언더아머,e-영업4
A958,미도,e-영업3
A959,울프,e-영업3
A960,마세라티,e-영업3
A962,제니퍼로페즈,e-영업4
A969,칼 라거펠트,e-영업3
A973,바오바오,e-영업3
A977,오가니아,e-영업4
A983,보테가 베네타,e-영업3
A984,와이쓰리,e-영업3
A985,오프화이트,e-영업3
AA02,닥터틸즈,e-영업4
AA11,엠뉴,e-영업4
AA17,데오필버톤,e-영업4
AA18,휘게,e-영업4
AA21,오썸,e-영업4
AA35,펠체아주라,e-영업4
AA38,나떼쌍스,e-영업4
AA44,웨트러스트,e-영업4
AA49,프리그리드,e-영업4
AA51,퍼스트앤티,e-영업4
AA59,유니픽쳐,e-영업4
AA66,그린루프트,e-영업4
AA73,더마겔,e-영업4
AA81,닥터에스리,e-영업4
AA82,토리든,e-영업4
AA84,자연이랑,e-영업4
AB12,에뿌,e-영업4
AB13,산수시,e-영업4
AB14,달란,e-영업4
AB27,헤솔,e-영업4
AB33,켈빈클라인,e-영업4
AB34,르씨엘,e-영업4
AB40,페르난다,e-영업4
AB59,그린리프,e-영업4
AB62,29데이즈,e-영업4
AB65,아나시스,e-영업4
AB71,허로우!,e-영업4
AB74,한불,e-영업4
AB83,더마퀸,e-영업4
AB86,코엘프,e-영업4
AB90,성림아크릴,e-영업4
AC09,버진백,e-영업4
AC12,오릭스,e-영업4
AC14,오가니아,e-영업4
AC22,클린,e-영업4
AC34,에코터치,e-영업4
AC35,다나한,e-영업4
AC43,소다스트림,e-영업4
AC58,프레쥬,e-영업4
AC87,마리케이,e-영업4
AC89,플랙커스,e-영업4
AC93,레이티드그린,e-영업4
AC99,아토치드,e-영업4
AD07,비오엠,e-영업4
AD27,풋키스,e-영업4
AD39,코튼 클라우드 나인,e-영업4
AD62,오딧세이,e-영업4
AD75,제이더블유파크,e-영업4
AD97,부광약품,e-영업4
AE,앳코너,e-영업1
AE01,비러브,e-영업4
AE20,로잘리아,e-영업4
AE28,이볼루덤,e-영업4
AE36,메디테라피,e-영업4
AE37,다소다,e-영업4
AE53,더 레쉬,e-영업4
AE74,텐드스킨,e-영업4
AE81,에바스코스메틱,e-영업4
AE91,나블러스,e-영업4
AF07,라카빈,e-영업4
AF27,네브스카야 코스메틱,e-영업4
AF45,써모머그,e-영업4
AF46,참조은머드,e-영업4
AF48,라입,e-영업4
AF51,허벌페이스푸드,e-영업4
AF56,더미코스,e-영업4
AF62,모웰,e-영업4
AF78,살바토레 페라가모,e-영업4
AF95,세라클리닉,e-영업4
AG08,트위스트,e-영업4
AG11,더마셀라,e-영업4
AG15,엘유케이,e-영업4
AG20,효진,e-영업4
AG31,메이드로,e-영업4
AG35,닥터마시멜로,e-영업4
AG50,젤로젤로,e-영업4
AG55,식스스타,e-영업4
AG63,코티,e-영업4
AG78,프롬에이치,e-영업4
AG84,르나르도,e-영업4
AG86,이부키,e-영업4
AH02,에이쓰리에프온,e-영업4
AH33,아라미스,e-영업4
AH75,파파야골드,e-영업4
AH78,에어모션,e-영업4
AI01,루오끼,e-영업4
AI08,가인비책,e-영업4
AI18,이아이오,e-영업4
AI31,케릭터,e-영업4
AI40,카라코사,e-영업4
AI65,커버나인,e-영업4
AI73,시카케어 바디미스트,e-영업4
AI82,나뚜리바이오,e-영업4
AL46,꽃을 든 남자,e-영업4
AL85,해피얼쓰,e-영업4
AN18,레르드사봉,e-영업4
AN68,글래머러스 디,e-영업4
AO53,이제이노리,e-영업3
AO56,헤리티지 리갈,e-영업3
AO57,리갈,e-영업3
AO58,레노마,e-영업3
AO65,클락스,e-영업3
AO71,앤디아더,e-영업3
AO72,카파,e-영업4
AO73,롤리타 렘피카,e-영업4
AO76,헐크,e-영업4
AO82,살바토레 페라가모,e-영업3
AO84,카밀,e-영업4
AO85,리얼테크닉스,e-영업4
AO91,캐시미어하우스,e-영업3
AO93,스파이더맨,e-영업4
AO94,헐크,e-영업3
AO95,아이언맨,e-영업3
AP03,세이코,e-영업3
AP04,알바,e-영업3
AP05,이세이미야케,e-영업3
AP08,비스카,e-영업4
AP09,보랄,e-영업4
AP10,퀸센스,e-영업4
AP13,르젠,e-영업4
AP15,텍스월드,e-영업4
AP16,247서울,e-영업3
AP26,뉴트라바이오,e-영업4
AP43,허니아일랜드,e-영업4
AP56,무코타,e-영업4
AP57,트립션,e-영업3
AP63,베르사체,e-영업4
AP65,비츠조명,e-영업4
AP66,앤소사이어티,e-영업4
AP68,앙크1.5,e-영업3
AP70,바이빠세,e-영업4
AP71,올리세,e-영업4
AP72,더블유 피부연구소,e-영업4
AP77,살롱드욘,e-영업3
AP80,코빵밴드,e-영업4
AP81,제이에스티나,e-영업3
AP86,라르디니,e-영업3
AP87,리프레젠트,e-영업3
AP97,벤하임,e-영업4
AP98,메시앙,e-영업4
AQ01,마이템,e-영업4
AQ03,소피앤테일러,e-영업3
AQ07,쏘리투머치러브,e-영업3
AQ08,아티아트,e-영업3
AQ09,마루망,e-영업4
AQ14,프리톤,e-영업3
AQ15,에스더포뮬러,e-영업4
AQ24,짐보리,e-영업3
AQ29,아르떼펠레,e-영업4
AQ30,배큐빈,e-영업4
AQ31,프라다,e-영업4
AQ32,햄튼,e-영업4
AQ34,파우트,e-영업4
AQ35,바디랩스,e-영업4
AQ36,리브트리,e-영업4
AQ38,벨로이,e-영업3
AQ50,캣티,e-영업4
AQ60,벌스원,e-영업3
AQ84,토리버치,e-영업3
AQ87,프렐류드,e-영업4
AR01,후와,e-영업4
AR04,오프더레코드,e-영업3
AR08,시크,e-영업3
AR27,엠디638,e-영업4
AR34,세인트제임스,e-영업3
AR35,컬럼비아,e-영업4
AR43,던힐,e-영업4
AR47,에스엠에이,e-영업3
AR65,오딧세이,e-영업4
AR67,휘엔느,e-영업4
AR71,더스튜디오케이,e-영업3
AR72,겐조,e-영업3
AR76,사라팜,e-영업4
AR83,필로이,e-영업3
