키워드,검색량,네이버검색량,대표검색량,추이,섹션,Status,순위,우선순위
미니멀룩,0,650,650,급하락,스타일/무드,신규,6,6순위
오피스룩,6600,7810,7810,급하락,스타일/무드,신규,2,2순위
빈티지 코디,390,120,120,급하락,스타일/무드,신규,8,8순위
러블리룩,110,50,50,급하락,스타일/무드,신규,11,11순위
걸리시룩,30,15,15,유지,스타일/무드,신규,12,12순위
캐주얼룩,1600,1240,1240,급하락,스타일/무드,신규,5,5순위
스트릿 패션,5400,2220,2220,급하락,스타일/무드,신규,3,3순위
모던룩,390,210,210,급하락,스타일/무드,신규,7,7순위
클래식룩,260,100,100,급하락,스타일/무드,신규,9,9순위
페미닌룩,2400,1470,1470,급하락,스타일/무드,신규,4,4순위
시크룩,170,80,80,급하락,스타일/무드,신규,10,10순위
데일리룩,9900,53730,53730,하락,스타일/무드,신규,1,1순위
